Ranking,University,Country
1,University of Cambridge,United Kingdom
2,Imperial College London,United Kingdom
3,University of Oxford,United Kingdom
4,ETH Zurich – Swiss Federal Institute of Technology,Switzerland
5,Delft University of Technology,Netherlands
6,Politecnico di Milano,Italy
7,RWTH Aachen University,Germany
8,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland
9,KTH Royal Institute of Technology,Sweden
10,Technical University of Munich,Germany
11,Granfield University,United Kingdom
12,Universität Stuttgart,Germany
13,The University of Manchester,United Kingdom
14,Ecole Polytechnique,France
15,KU Leuven,Belgium
16,"KIT, Karlsruhe Institute of Technology",Germany
17,Lomonosov Moscow State University,Russia
18,Loughborough University,United Kingdom
19,Lund University,Sweden
20,Politecnico di Torino,Italy
